datetime,portfolio_value,cash,price
2023-05-27,121639.19452919115,89895.39222012844,26713.4
2023-05-28,121770.92926488043,121770.92926488043,26864.35
2023-05-29,121770.92926488043,121770.92926488043,28093.25
2023-05-30,121770.92926488043,121770.92926488043,27742.94
2023-05-31,121770.92926488043,121770.92926488043,27686.94
2023-06-01,121770.92926488043,121770.92926488043,27215.53
2023-06-02,121770.92926488043,121770.92926488043,26824.34
2023-06-03,121770.92926488043,121770.92926488043,27238.78
2023-06-04,121770.92926488043,121770.92926488043,27062.22
2023-06-05,121770.92926488043,121770.92926488043,27100.01
2023-06-06,121770.92926488043,121770.92926488043,25736.21
2023-06-07,121770.92926488043,121770.92926488043,27235.19
2023-06-08,121770.92926488043,121770.92926488043,26339.33
2023-06-09,121770.92926488043,121770.92926488043,26496.08
2023-06-10,121770.92926488043,121770.92926488043,26481.27
2023-06-11,121633.58541759622,60135.67448255074,25818.19
2023-06-12,121783.05226453715,90494.98778201615,25932.39
2023-06-13,121665.18561905119,74837.62435806451,25905.37
2023-06-14,121613.50594947091,82805.25225271824,25933.68
2023-06-15,120274.03482594533,78749.23052322984,25106.38
2023-06-16,120933.23068296813,79391.21652440788,25567.93
2023-06-17,122223.55829119307,79391.21652440788,26362.09
2023-06-18,122390.75875880377,81013.93588833573,26523.74
2023-06-19,122089.57109855671,81013.93588833573,26330.67
2023-06-20,122753.4149648925,79990.22385789434,26831.35
2023-07-03,128793.98953958345,79990.22385789434,30621.45
2023-07-04,129596.58988229524,129596.58988229524,31156.46
2023-07-05,129596.58988229524,129596.58988229524,30764.0
2023-07-07,129596.58988229524,129596.58988229524,29902.7
2023-07-08,129596.58988229524,129596.58988229524,30328.9
2023-07-09,129596.58988229524,129596.58988229524,30290.0
2023-07-10,129596.58988229524,129596.58988229524,30166.46
2023-07-11,129596.58988229524,129596.58988229524,30416.98
2023-07-12,129596.58988229524,129596.58988229524,30629.86
2023-07-13,129596.58988229524,129596.58988229524,30378.48
2023-07-14,129596.58988229524,129596.58988229524,31455.83
2023-07-15,129596.58988229524,129596.58988229524,30294.5
2023-07-16,129596.58988229524,129596.58988229524,30289.53
2023-07-17,129596.58988229524,129596.58988229524,30221.03
2023-07-18,129596.58988229524,129596.58988229524,30143.52
2023-07-19,129596.58988229524,129596.58988229524,29857.65
2023-07-20,129596.58988229524,129596.58988229524,29912.96
2023-07-21,129596.58988229524,129596.58988229524,29806.78
2023-07-22,129596.58988229524,129596.58988229524,29901.71
2023-07-23,129596.58988229524,129596.58988229524,29808.35
2023-07-28,129596.58988229524,129596.58988229524,29220.01
2023-07-29,129596.58988229524,129596.58988229524,29310.84
2023-07-30,129596.58988229524,129596.58988229524,29352.91
2023-07-31,129596.58988229524,129596.58988229524,29279.5
2023-08-01,129596.58988229524,129596.58988229524,29230.0
2023-08-02,129596.58988229524,129596.58988229524,29744.0
2023-08-03,129596.58988229524,129596.58988229524,29175.29
2023-08-04,129596.58988229524,129596.58988229524,29184.99
2023-08-05,129596.58988229524,129596.58988229524,29114.0
2023-08-06,129596.58988229524,129596.58988229524,29072.13
2023-08-07,129596.58988229524,129596.58988229524,29086.68
2023-08-08,129596.58988229524,129596.58988229524,29213.99
2023-08-09,129596.58988229524,129596.58988229524,29781.99
2023-08-10,129596.58988229524,129596.58988229524,29584.61
2023-08-11,129596.58988229524,129596.58988229524,29455.52
2023-08-12,129596.58988229524,129596.58988229524,29426.03
2023-08-13,129596.58988229524,129596.58988229524,29430.17
2023-08-14,129596.58988229524,129596.58988229524,29295.06
2023-08-15,129596.58988229524,129596.58988229524,29423.25
2023-08-16,129596.58988229524,129596.58988229524,29196.42
2023-08-17,129596.58988229524,129596.58988229524,28721.77
2023-08-18,129596.58988229524,129596.58988229524,26602.01
2023-08-19,129596.58988229524,129596.58988229524,26050.27
2023-08-20,129502.04044796726,62270.11810875159,26089.42
2023-08-21,129656.21721009711,97277.61200464079,26188.65
2023-08-22,129547.5944087214,129547.5944087214,26131.98
2023-08-23,129547.5944087214,129547.5944087214,26052.0
2023-08-24,129547.5944087214,129547.5944087214,26432.96
2023-08-25,129547.5944087214,129547.5944087214,26180.0
2023-08-26,129547.5944087214,129547.5944087214,26066.0
2023-08-27,129547.5944087214,129547.5944087214,26011.66
2023-08-28,129547.5944087214,129547.5944087214,26101.77
2023-08-29,129547.5944087214,129547.5944087214,26124.14
2023-08-30,129547.5944087214,129547.5944087214,27712.0
2023-09-07,129547.5944087214,129547.5944087214,25762.32
2023-09-11,129547.5944087214,129547.5944087214,25846.59
2023-09-12,129482.25099744185,64138.839717882656,25167.84
2023-09-13,131107.1294228803,96978.9591402871,25852.83
2023-09-14,131585.0431169481,96978.9591402871,26214.86
2023-09-15,131954.45666028216,131954.45666028216,26521.25
2023-09-16,131954.45666028216,131954.45666028216,26623.5
2023-09-17,131954.45666028216,131954.45666028216,26559.67
2023-09-18,131954.45666028216,131954.45666028216,26529.35
2023-09-19,131954.45666028216,131954.45666028216,26763.24
2023-09-20,131954.45666028216,131954.45666028216,27196.3
2023-09-21,131954.45666028216,131954.45666028216,27116.35
2023-09-22,131879.3443674518,64917.081238592364,26564.86
2023-09-23,131809.14149590768,98161.4980837829,26581.13
2023-09-24,131718.1181826596,80880.33285814666,26575.97
2023-09-25,130938.60030187272,89595.21670935089,26225.42
2023-09-26,130972.42378025153,84419.73162470893,26305.87
2023-09-27,130706.44612227316,87130.06058468572,26213.81
2023-09-28,130862.80046877098,85465.02143805454,26367.38
2023-09-29,132009.2039866712,85465.02143805454,27033.22
2023-09-30,131664.45823992716,87618.36061032642,26895.96
2023-10-01,131675.77872770972,86181.18253985909,26960.13
2023-10-02,133354.08809064797,133354.08809064797,27991.06
2023-10-03,133354.08809064797,133354.08809064797,27506.89
2023-10-04,133354.08809064797,133354.08809064797,27421.54
2023-10-05,133354.08809064797,133354.08809064797,27777.47
2023-10-06,133354.08809064797,133354.08809064797,27417.24
2023-10-07,133283.68199562418,62902.807050534284,27934.59
2023-10-08,133341.10113583706,62902.807050534284,27957.38
2023-10-09,133132.72627520034,100593.31369013606,27919.42
2023-10-10,132644.32903432142,81161.30440639288,27584.91
2023-10-11,132184.6999368421,90441.46729070428,27389.17
2023-10-12,131270.7255646382,85324.3760346904,26861.64
2023-10-13,130976.73634013147,86959.78535027093,26751.59
2023-10-14,131041.2893437317,85815.07497385517,26859.11
2023-10-15,130940.4355353298,86498.8684402715,26852.68
2023-10-16,131294.57046028716,86016.45973730569,27135.37
2023-10-17,133598.14114966802,86016.45973730569,28515.91
2023-10-18,133292.24558020761,88928.04936028205,28392.82
2023-10-19,133037.83592990035,87119.5611036408,28302.55
2023-10-20,133588.42613283225,87800.83995108177,28716.26
2023-10-21,135105.32151677663,87800.83995108177,29667.6
2023-10-22,135383.67554229862,89525.93371718575,29913.46
2023-10-23,135484.27189653393,89525.93371718575,29979.08
2023-10-24,140122.39024103573,72916.9625000105,33095.19
2023-10-25,141623.29650308008,90799.93355246921,33922.73
2023-10-26,142453.82904723767,90799.93355246921,34477.08
2023-10-27,141799.20534689692,80667.20858567217,34135.37
2023-10-28,141244.6055343451,86779.12581956596,33893.78
2023-10-30,142146.97541233012,82004.37410353751,34544.43
2023-10-31,142012.06364289526,82004.37410353751,34466.94
2023-11-06,142774.16374404362,86165.85309463202,34989.44
2023-11-07,142875.94384749638,86165.85309463202,35052.35
2023-11-08,143314.15903739745,98237.56698673933,35400.0
2023-11-09,143526.18455554306,98237.56698673933,35566.51
2023-11-10,144777.84411037015,75892.88878984781,36675.76
2023-11-11,145914.80265884264,75892.88878984781,37281.1
2023-11-12,145536.59246046407,145536.59246046407,37140.99
2023-11-13,145536.59246046407,145536.59246046407,37069.69
2023-11-14,145402.360037402,48075.336980288565,36456.19
2023-11-15,142816.41576348638,110939.27970727446,35548.34
2023-11-16,144839.2315544261,144839.2315544261,37843.71
2023-11-17,144708.66612342943,50615.56709110067,36154.0
2023-11-18,145746.29148177244,110893.55606209667,36610.04
2023-11-19,145707.92590671673,110893.55606209667,36569.74
2023-11-20,146424.5435835909,146424.5435835909,37374.5
2023-11-21,146424.5435835909,146424.5435835909,37448.66
2023-11-22,146254.27654744472,51280.05536598307,35720.64
