datetime,portfolio_value,cash,price
2023-01-02 08:00:00,100215.10287372749,75110.88553250876,16721.63
2023-01-02 10:00:00,100215.25300393214,75110.88553250876,16721.73
2023-01-02 11:00:00,100227.398537489,75110.88553250876,16729.82
2023-01-02 15:00:00,100181.74394225239,75110.88553250876,16699.41
2023-01-02 18:00:00,100206.8306994508,75110.88553250876,16716.12
2023-01-02 19:00:00,100220.34241787007,75110.88553250876,16725.12
2023-01-02 20:00:00,100237.65243046718,75110.88553250876,16736.65
2023-01-02 21:00:00,100229.3802561905,75110.88553250876,16731.14
2023-01-02 22:00:00,100276.47610139183,75110.88553250876,16762.51
2023-01-02 23:00:00,100186.69823900612,75110.88553250876,16702.71
2023-01-03 00:00:00,100131.27016744624,75110.88553250876,16665.79
2023-01-03 01:00:00,100095.34624073228,61124.96755139905,16692.75
2023-01-03 02:00:00,100052.64697151493,61124.96755139905,16674.46
2023-01-03 03:00:00,100049.79879718769,61124.96755139905,16673.24
2023-01-03 04:00:00,100095.55635195314,61124.96755139905,16692.84
2023-01-03 05:00:00,100077.30002142937,61124.96755139905,16685.02
2023-01-03 06:00:00,100201.73255556195,61124.96755139905,16738.32
2023-01-03 07:00:00,100175.60872710147,61124.96755139905,16727.13
2023-01-03 08:00:00,100193.42148949229,61124.96755139905,16734.76
2023-01-03 09:00:00,100153.01009801323,61124.96755139905,16717.45
2023-01-03 10:00:00,100217.32747728813,61124.96755139905,16745.0
2023-01-03 11:00:00,100171.73334236114,61124.96755139905,16725.47
2023-01-03 12:00:00,100164.63625223425,61124.96755139905,16722.43
2023-01-03 13:00:00,100137.53190474308,61124.96755139905,16710.82
2023-01-03 14:00:00,100175.7254555575,61124.96755139905,16727.18
2023-01-03 15:00:00,100052.74035427975,61124.96755139905,16674.5
2023-01-03 16:00:00,100051.29292142493,61124.96755139905,16673.88
2023-01-03 17:00:00,99926.81369590995,61124.96755139905,16620.56
2023-01-03 18:00:00,99952.98421575283,61124.96755139905,16631.77
2023-01-03 19:00:00,99986.15844295779,61124.96755139905,16645.98
2023-01-03 20:00:00,99990.43070444865,61124.96755139905,16647.81
2023-01-03 21:00:00,99943.86261109752,68254.86396201166,16661.62
2023-01-03 22:00:00,99950.21500993316,68254.86396201166,16664.96
2023-01-03 23:00:00,99966.51442850246,68254.86396201166,16673.53
2023-01-04 00:00:00,99970.8698157281,68254.86396201166,16675.82
2023-01-04 01:00:00,99942.72146160608,68254.86396201166,16661.02
2023-01-04 02:00:00,100032.70109900559,68254.86396201166,16708.33
2023-01-04 03:00:00,100108.56852102769,68254.86396201166,16748.22
2023-01-04 04:00:00,100353.05979956723,68254.86396201166,16876.77
2023-01-04 05:00:00,100332.91851104343,68254.86396201166,16866.18
2023-01-04 06:00:00,100329.5901583601,68254.86396201166,16864.43
2023-01-04 07:00:00,100362.01782307497,68254.86396201166,16881.48
2023-01-04 08:00:00,100341.857515393,68254.86396201166,16870.88
2023-01-04 09:00:00,100331.20678680629,68254.86396201166,16865.28
2023-01-04 10:00:00,100292.54083820489,68254.86396201166,16844.95
2023-01-04 11:00:00,100289.9161943746,68254.86396201166,16843.57
2023-01-04 12:00:00,100281.39561150523,68254.86396201166,16839.09
2023-01-04 13:00:00,100225.57438221597,68254.86396201166,16809.74
2023-01-04 14:00:00,100262.09116594182,68254.86396201166,16828.94
2023-01-04 15:00:00,100212.2229331662,68254.86396201166,16802.72
2023-01-04 16:00:00,100293.26356621613,68254.86396201166,16845.33
2023-01-04 17:00:00,100323.04756794254,68254.86396201166,16860.99
2023-01-04 18:00:00,100365.84067387128,68254.86396201166,16883.49
2023-01-05 10:00:00,100217.62437409231,68254.86396201166,16805.56
2023-01-05 11:00:00,100257.73577871619,68254.86396201166,16826.65
2023-01-05 12:00:00,100264.60169482297,68254.86396201166,16830.26
2023-01-05 13:00:00,100250.94593924216,68254.86396201166,16823.08
2023-01-05 14:00:00,100188.2778130043,68254.86396201166,16790.13
2023-01-05 15:00:00,100255.16819236046,68254.86396201166,16825.3
2023-01-05 16:00:00,100287.63389539173,68254.86396201166,16842.37
2023-01-05 17:00:00,100268.9761012068,68254.86396201166,16832.56
2023-01-05 18:00:00,100157.0719119499,64841.6121481461,16813.25
2023-01-05 19:00:00,100221.09375267677,64841.6121481461,16843.73
2023-01-05 20:00:00,100264.4891342193,64841.6121481461,16864.39
2023-01-05 21:00:00,100252.22248232151,64841.6121481461,16858.55
2023-01-05 22:00:00,100233.86451355666,64841.6121481461,16849.81
2023-01-05 23:00:00,100216.26270826496,64841.6121481461,16841.43
2023-01-06 00:00:00,100193.24173141568,64841.6121481461,16830.47
2023-01-06 01:00:00,100252.60056405808,64841.6121481461,16858.73
2023-01-06 02:00:00,100188.11662343098,64841.6121481461,16828.03
2023-01-06 03:00:00,100203.4289337623,64841.6121481461,16835.32
2023-01-06 04:00:00,100199.98418905128,64841.6121481461,16833.68
2023-01-06 05:00:00,100168.87646394744,64841.6121481461,16818.87
2023-01-06 06:00:00,100140.8774108999,64841.6121481461,16805.54
2023-01-06 07:00:00,100096.9149067525,64841.6121481461,16784.61
2023-01-06 08:00:00,100116.1340616951,64841.6121481461,16793.76
2023-01-06 09:00:00,100126.59432307372,64841.6121481461,16798.74
2023-01-06 10:00:00,100101.99800565535,64841.6121481461,16787.03
2023-01-06 11:00:00,100061.0181463187,64841.6121481461,16767.52
2023-01-06 12:00:00,99992.71137924399,64841.6121481461,16735.0
2023-01-06 13:00:00,99971.95889281416,64841.6121481461,16725.12
2023-01-06 14:00:00,99978.46213649507,66303.24927527424,16768.57
2023-01-06 15:00:00,99957.67691431372,66303.24927527424,16758.22
2023-01-06 16:00:00,100127.53334833296,66303.24927527424,16842.8
2023-01-06 17:00:00,100110.58385314353,66303.24927527424,16834.36
2023-01-06 18:00:00,100100.94432981304,66303.24927527424,16829.56
2023-01-07 15:00:00,100313.11425478506,66303.24927527424,16935.21
2023-01-07 19:00:00,100317.51228730459,66303.24927527424,16937.4
2023-01-07 20:00:00,100330.4854791202,66303.24927527424,16943.86
2023-01-07 21:00:00,100333.39741845962,66303.24927527424,16945.31
2023-01-07 22:00:00,100321.2074379146,66303.24927527424,16939.24
2023-01-07 23:00:00,100313.69664265294,66303.24927527424,16935.5
2023-01-08 00:00:00,100337.85569799997,66303.24927527424,16947.53
2023-01-08 01:00:00,100290.20030453488,66303.24927527424,16923.8
2023-01-08 02:00:00,100300.82386253869,66303.24927527424,16929.09
2023-01-08 03:00:00,100302.6714378437,66303.24927527424,16930.01
2023-01-08 04:00:00,100328.07559828757,66303.24927527424,16942.66
2023-01-08 05:00:00,100315.28314753441,66303.24927527424,16936.29
2023-01-08 06:00:00,100328.89897423872,66303.24927527424,16943.07
2023-01-08 07:00:00,100343.69965901907,66303.24927527424,16950.44
2023-01-08 08:00:00,100349.56370237845,66303.24927527424,16953.36
2023-01-08 09:00:00,100332.51379548764,66303.24927527424,16944.87
2023-01-08 10:00:00,100316.60858199236,66303.24927527424,16936.95
2023-01-08 11:00:00,100315.34339455522,66303.24927527424,16936.32
2023-01-08 12:00:00,100298.13282894227,66303.24927527424,16927.75
2023-01-08 13:00:00,100284.53708457822,66303.24927527424,16920.98
2023-01-08 14:00:00,100310.5035505497,66303.24927527424,16933.91
2023-01-08 15:00:00,100342.17340115842,66303.24927527424,16949.68
2023-01-08 16:00:00,100452.2246258481,66303.24927527424,17004.48
2023-01-08 17:00:00,100312.04989075064,66303.24927527424,16934.68
2023-01-08 18:00:00,100286.56540094569,66303.24927527424,16921.99
2023-01-08 19:00:00,100220.45274182962,65865.28244290824,16926.96
2023-01-08 20:00:00,100221.65021322887,65865.28244290824,16927.55
2023-01-08 21:00:00,100303.66685601525,65865.28244290824,16967.96
2023-01-08 22:00:00,100282.15296307945,65865.28244290824,16957.36
2023-01-08 23:00:00,100304.07277852348,65865.28244290824,16968.16
2023-01-09 00:00:00,100642.00326661882,65865.28244290824,17134.66
2023-01-09 01:00:00,100746.67038536404,65865.28244290824,17186.23
2023-01-09 02:00:00,100725.80596844139,65865.28244290824,17175.95
2023-01-09 03:00:00,100745.77735584594,65865.28244290824,17185.79
2023-01-09 04:00:00,100772.58853751405,65865.28244290824,17199.0
2023-01-09 05:00:00,100827.89547925937,65865.28244290824,17226.25
2023-01-09 06:00:00,100789.271952602,65865.28244290824,17207.22
2023-01-09 07:00:00,100760.06582813538,65865.28244290824,17192.83
2023-01-09 08:00:00,100772.26379950746,65865.28244290824,17198.84
2023-01-09 09:00:00,100768.00161317113,65865.28244290824,17196.74
2023-01-09 10:00:00,100865.05768488717,65865.28244290824,17244.56
2023-01-09 11:00:00,100904.71631394052,65865.28244290824,17264.1
2023-01-09 12:00:00,100864.36761662319,65865.28244290824,17244.22
2023-01-09 13:00:00,100875.3275243452,65865.28244290824,17249.62
2023-01-09 14:00:00,100827.04304199212,65865.28244290824,17225.83
2023-01-09 15:00:00,100898.44481118847,65865.28244290824,17261.01
2023-01-09 16:00:00,100927.95537753626,65865.28244290824,17275.55
2023-01-09 17:00:00,101050.48308664326,65865.28244290824,17335.92
2023-01-09 18:00:00,101083.89050906998,65865.28244290824,17352.38
2023-01-09 19:00:00,101075.14287901779,65865.28244290824,17348.07
2023-01-09 21:00:00,100795.25930959827,65865.28244290824,17210.17
2023-01-09 22:00:00,100686.52292158372,100686.52292158372,17171.43
2023-01-09 23:00:00,100606.51641763252,32014.959557471004,17202.71
2023-01-10 00:00:00,100525.17645666431,32014.959557471004,17182.31
2023-01-10 01:00:00,100668.99667196447,32014.959557471004,17218.38
2023-01-10 02:00:00,100570.47165061522,32014.959557471004,17193.67
2023-01-10 03:00:00,100537.4571958693,32014.959557471004,17185.39
2023-01-10 04:00:00,100625.81472209751,32014.959557471004,17207.55
2023-01-10 05:00:00,100682.67294971549,32014.959557471004,17221.81
2023-01-10 06:00:00,100724.4593610364,32014.959557471004,17232.29
2023-01-10 07:00:00,100617.84021612024,32014.959557471004,17205.55
2023-01-10 08:00:00,100598.50203912536,32014.959557471004,17200.7
2023-01-10 09:00:00,100798.4627765055,32014.959557471004,17250.85
2023-01-10 10:00:00,100798.58239409517,32014.959557471004,17250.88
2023-01-10 11:00:00,100866.84416526064,32014.959557471004,17268.0
2023-01-10 12:00:00,100805.5202142954,32014.959557471004,17252.62
2023-01-10 13:00:00,100701.29342117242,32014.959557471004,17226.48
2023-01-10 14:00:00,100831.95570161007,32014.959557471004,17259.25
2023-01-10 15:00:00,100916.1266122002,32014.959557471004,17280.36
2023-01-10 16:00:00,101107.39513806513,32014.959557471004,17328.33
2023-01-10 17:00:00,100950.77584067144,32014.959557471004,17289.05
2023-01-10 19:00:00,101486.78225993397,32014.959557471004,17423.48
2023-01-10 20:00:00,101522.62766430184,32014.959557471004,17432.47
2023-01-10 21:00:00,101706.7590073171,32014.959557471004,17478.65
2023-01-10 22:00:00,101616.44772712447,32014.959557471004,17456.0
2023-01-10 23:00:00,101516.76640240854,32014.959557471004,17431.0
2023-01-11 00:00:00,101556.83829494432,32014.959557471004,17441.05
2023-01-11 01:00:00,101654.04752280732,32014.959557471004,17465.43
2023-01-11 02:00:00,101624.70134081095,32014.959557471004,17458.07
2023-01-11 03:00:00,101384.54909330531,32014.959557471004,17397.84
2023-01-11 04:00:00,101454.44563819614,32014.959557471004,17415.37
2023-01-11 05:00:00,101421.152075741,32014.959557471004,17407.02
2023-01-11 06:00:00,101316.5338141196,101316.5338141196,17402.05
2023-01-11 07:00:00,101316.5338141196,101316.5338141196,17438.26
2023-01-11 08:00:00,101316.5338141196,101316.5338141196,17446.17
2023-01-11 09:00:00,101228.11186079185,32333.816631560494,17445.93
2023-01-11 10:00:00,101231.073624448,32333.816631560494,17446.68
2023-01-11 11:00:00,101196.16430348739,32333.816631560494,17437.84
2023-01-11 12:00:00,101170.10078331319,32333.816631560494,17431.24
2023-01-11 13:00:00,101131.9927576039,32333.816631560494,17421.59
2023-01-11 14:00:00,101090.0146940506,32333.816631560494,17410.96
2023-01-11 15:00:00,101099.96621993529,32333.816631560494,17413.48
2023-01-11 16:00:00,100779.9377843416,32333.816631560494,17332.44
2023-01-11 17:00:00,100849.71693608076,32333.816631560494,17350.11
2023-01-11 18:00:00,100978.69187076103,32333.816631560494,17382.77
2023-01-11 19:00:00,101415.09787295079,32333.816631560494,17493.28
2023-01-11 20:00:00,101703.09977087585,32333.816631560494,17566.21
2023-01-11 21:00:00,101686.79032567593,32333.816631560494,17562.08
2023-01-11 22:00:00,101667.16370518111,32333.816631560494,17557.11
2023-01-11 23:00:00,101711.66914038769,32333.816631560494,17568.38
2023-01-12 00:00:00,103192.47198810386,32333.816631560494,17943.36
2023-01-12 01:00:00,104170.20940627564,32333.816631560494,18190.95
2023-01-12 02:00:00,104277.18830953616,32333.816631560494,18218.04
2023-01-12 03:00:00,104223.00777971945,32333.816631560494,18204.32
2023-01-12 04:00:00,104292.74744127652,32333.816631560494,18221.98
2023-01-12 05:00:00,104268.85588111682,32333.816631560494,18215.93
2023-01-12 06:00:00,103830.27791891254,32333.816631560494,18104.87
2023-01-12 07:00:00,103924.98722260015,103924.98722260015,18149.26
2023-01-12 08:00:00,103782.23537420906,33215.0660722668,18123.11
2023-01-12 09:00:00,103859.83815232979,33215.0660722668,18143.04
